name,phone,email,country,numberrange
Rana Atkinson,(501) 489-0463,sagittis@outlook.edu,Pakistan,5
Dorothy Sykes,1-337-639-1151,vulputate@aol.com,China,2
Inga Parker,1-558-857-4506,ultrices@icloud.couk,India,9
Carol Alston,1-117-939-7569,sed.diam@protonmail.net,Belgium,9
Brenna Perkins,(911) 707-4465,quis.tristique@google.org,China,9
Tasha Graves,1-548-847-2443,in.tincidunt.congue@google.edu,Colombia,1
September Cooley,(345) 482-4074,ridiculus@outlook.edu,Canada,3
Celeste Livingston,(467) 414-7502,sed.orci@google.ca,Russian Federation,9
Nash Ellison,1-692-865-2741,ipsum.sodales@hotmail.ca,India,8
Ramona Vaughn,1-286-597-0349,vestibulum.lorem.sit@aol.couk,Netherlands,6
